	Russian	Arabic	Target
1328	Ибо не хочу оставить вас, братия, в неведении о тайне сей, – чтобы вы не мечтали о себе, – что ожесточение произошло в Израиле отчасти, до времени, пока войдет полное число язычников;	فاني لست اريد ايها الاخوة ان تجهلوا هذا السر. لئلا تكونوا عند انفسكم حكماء. ان القساوة قد حصلت جزئيا لاسرائيل الى ان يدخل ملؤ الامم	ожесточение
1329	Прочее об Иоасе, что он сделал, и о мужественных подвигах его, и как он воевал с Амасиею, царем Иудейским, написано в летописи царей Израильских.	وبقية امور يهوآش التي عمل وجبروته وكيف حارب امصيا ملك يهوذا أما هي مكتوبة في سفر اخبار الايام لملوك اسرائيل.	летописи
1330	Он не поддерживает нечестивых и воздает должное угнетенным;	لا يحيي الشرير بل يجري قضاء البائسين.	должное
1331	Вы беременны сеном, разродитесь соломою; дыхание ваше – огонь,который пожрет вас.	تحبلون بحشيش تلدون قشيشا نفسكم نار تاكلكم.	дыхание
1332	ибо восстанет народ на народ, и царство на царство; и будут глады, моры и землетрясения по местам;	لانه تقوم امة على امة ومملكة على مملكة وتكون مجاعات واوبئة وزلازل في اماكن.	народ
1333	и высоты будут им страшны, и на дороге ужасы; и зацветет миндаль,и отяжелеет кузнечик, и рассыплется каперс. Ибо отходит человек в вечный дом свой, и готовы окружить его по улице плакальщицы; –	وايضا يخافون من العالي وفي الطريق اهوال واللوز يزهر والجندب يستثقل والشهوة تبطل لان الانسان ذاهب الى بيته الابدي والنادبون يطوفون في السوق.	миндаль
1334	В тот день Господь Саваоф будет великолепным венцом и славною диадемою для остатка народа Своего,	في ذلك اليوم يكون رب الجنود اكليل جمال وتاج بهاء لبقية شعبه	венцом
1335	И привел он меня к притвору храма, и намерил в столбах притвора пять локтей с одной стороны и пять локтей с другой; а в воротах три локтя ширины с одной стороны и три локтя с другой.	وأتى بي الى رواق البيت وقاس عضادة الرواق خمس اذرع من هنا وخمس اذرع من هناك وعرض الباب ثلاث اذرع من هنا وثلاث اذرع من هناك.	ширины
1336	Ибо человек не знает своего времени. Как рыбы попадаются в пагубную сеть, и как птицы запутываются в силках, так сыны человеческие уловляются в бедственное время, когда оно неожиданно находит на них.	لان الانسان ايضا لا يعرف وقته. كالاسماك التي تؤخذ بشبكة مهلكة وكالعصافير التي تؤخذ بالشرك كذلك تقتنص بنو البشر في وقت شر اذ يقع عليهم بغتة.	сеть
1337	И сказал Моисей: узнаете, когда Господь вечером даст вам мяса в пищу, а утром хлеба досыта, ибо Господь услышал ропот ваш, который вы подняли против Него: а мы что? не на нас ропот ваш, но на Господа.	وقال موسى. ذلك بان الرب يعطيكم في المساء لحما لتاكلوا وفي الصباح خبزا لتشبعوا لاستماع الرب تذمّركم الذي تتذمرون عليه. واما نحن فماذا. ليس علينا تذمّركم بل على الرب.	утром
1338	через лицемерие лжесловесников, сожженных в совести своей,	في رياء اقوال كاذبة موسومة ضمائرهم	лицемерие
1339	Посему, как преступлением одного всем человекам осуждение, так правдою одного всем человекам оправдание к жизни.	فاذا كما بخطية واحدة صار الحكم الى جميع الناس للدينونة هكذا ببر واحد صارت الهبة الى جميع الناس لتبرير الحياة.	осуждение
1340	Вот народы – как капля из ведра, и считаются как пылинка на весах. Вот, острова как порошинку поднимает Он.	هوذا الامم كنقطة من دلو وكغبار الميزان تحسب هوذا الجزائر يرفعها كدقة.	капля
1341	Но дом Израилев возмутился против Меня в пустыне: по заповедям Моим не поступали и отвергли постановления Мои, исполняя которые человек жив был бы через них, и субботы Мои нарушали, и Я сказал: изолью на них ярость Мою в пустыне, чтобы истребить их.	فتمرد عليّ بيت اسرائيل في البرية. لم يسلكوا في فرائضي ورفضوا احكامي التي ان عملها انسان يحيا بها ونجسوا سبوتي كثيرا. فقلت اني اسكب رجزي عليهم في البرية لافنائهم.	постановления
1342	Друг мой похож на серну или на молодого оленя. Вот, он стоит у насза стеною, заглядывает в окно, мелькает сквозь решетку.	حبيبي هو شبيه بالظبي او بغفر الأيائل. هوذا واقف وراء حائطنا يتطلع من الكوى يوصوص من الشبابيك.	окно
1343	И сказал ему Давид: если ты пойдешь со мною, то будешь мне в тягость;	فقال له داود اذا عبرت معي تكون عليّ حملا.	тягость
1344	Блаженство сие относится к обрезанию, или к необрезанию? Мы говорим, что Аврааму вера вменилась в праведность.	أفهذا التطويب هو على الختان فقط ام على الغرلة ايضا. لاننا نقول انه حسب لابراهيم الايمان برا.	Блаженство
1345	и взял он пару волов, и рассек их на части, и послал во все пределы Израильские чрез тех послов, объявляя, что так будет поступлено с волами того, кто не пойдет вслед Саула и Самуила. И напал страх Господень на народ, и выступили все, как один человек.	فاخذ فدان بقر وقطّعه وارسل الى كل تخوم اسرائيل بيد الرسل قائلا من لا يخرج وراء شاول ووراء صموئيل فهكذا يفعل ببقره. فوقع رعب الرب على الشعب فخرجوا كرجل واحد.	послов
1346	(7:5) шея твоя – как столп из слоновой кости; глаза твои – озерки Есевонские, что у ворот Батраббима; нос твой – башня Ливанская, обращенная к Дамаску;	عنقك كبرج من عاج. عيناك كالبرك في حشبون عند باب بث ربيم. انفك كبرج لبنان الناظر تجاه دمشق.	нос
1347	О, кто даст голове моей воду и глазам моим – источник слез! я плакал бы день и ночь о пораженных дщери народа моего.	يا ليت راسي ماء وعينيّ ينبوع دموع فابكي نهارا وليلا قتلى بنت شعبي.	воду
1348	Он рубит себе кедры, берет сосну и дуб, которые выберет между деревьями в лесу, садит ясень, а дождь возращает его.	قطع لنفسه ارزا واخذ سنديانا وبلوطا واختار لنفسه من اشجار الوعر. غرس سنوبرا والمطر ينميه.	ясень
1349	О, ты, живущий при водах великих, изобилующий сокровищами! пришел конец твой, мера жадности твоей.	ايتها الساكنة على مياه كثيرة الوافرة الخزائن قد اتت آخرتك كيل اغتصابك.	жадности
1350	И насадил Господь Бог рай в Едеме на востоке, и поместил там человека, которого создал.	وغرس الرب الاله جنّة في عدن شرقا. ووضع هناك آدم الذي جبله.	рай
1351	И скажи им слово сие: да льются из глаз моих слезы ночь и день, и да не перестают; ибо великим поражением поражена дева, дочь народа моего, тяжким ударом.	وتقول لهم هذه الكلمة. لتذرف عيناي دموعا ليلا ونهارا ولا تكفا لان العذراء بنت شعبي سحقت سحقا عظيما بضربة موجعة جدا.	слезы
1352	В первый месяц, в четырнадцатый день месяца - Пасха Господня.	وفي الشهر الاول في اليوم الرابع عشر من الشهر فصح للرب.	месяц
1353	ибо не осмелюсь сказать что-нибудь такое, чего несовершил Христос через меня, в покорении язычников вере, словом и делом,	لاني لا اجسر ان اتكلم عن شيء مما لم يفعله المسيح بواسطتي لاجل اطاعة الامم بالقول والفعل	покорении
1354	известная по добрым делам, если она воспитала детей, принимала странников, умывала ноги святым, помогала бедствующим и была усердна ко всякому доброму делу.	مشهودا لها في اعمال صالحة ان تكن قد ربّت الاولاد اضافت الغرباء غسلت ارجل القديسين ساعدت المتضايقين اتبعت كل عمل صالح.	странников
1355	Горе вам, фарисеям, что любите председания в синагогах и приветствия в народных собраниях.	ويل لكم ايها الفريسيون لانكم تحبون المجلس الاول في المجامع والتحيات في الاسواق.	Горе
1356	и не приведет ко входу скинии собрания, чтобы представить в жертву Господу пред жилищем Господним, то человеку тому вменена будет кровь: он пролил кровь, и истребится человек тот из народа своего;	والى باب خيمة الاجتماع لا يأتي به ليقرّب قربانا للرب امام مسكن الرب يحسب على ذلك الانسان دم. قد سفك دما فيقطع ذلك الانسان من شعبه.	входу
1357	Бегите, уходите скорее, сокройтесь в пропасти,жители Асора, говорит Господь, ибо Навуходоносор, царь Вавилонский,сделал решение о вас и составил против вас замысел.	اهربوا انهزموا جدا تعمقوا في السكن يا سكان حاصور يقول الرب لان نبوخذراصر ملك بابل قد اشار عليكم مشورة وفكر عليكم فكرا.	решение
1358	Нет у него ни начальника, ни приставника, ни повелителя;	التي ليس لها قائد او عريف او متسلط	повелителя
1359	Клятва и обман, убийство и воровство и прелюбодейство крайне распространились, и кровопролитие следует за кровопролитием.	لعن وكذب وقتل وسرقة وفسق. يعتنفون ودماء تلحق دماء.	воровство
1360	снисходя друг другу и прощая взаимно, если кто на кого имеет жалобу: как Христос простил вас, так и вы.	محتملين بعضكم بعضا ومسامحين بعضكم بعضا ان كان لاحد على احد شكوى. كما غفر لكم المسيح هكذا انتم ايضا.	жалобу
1361	и навяжи их в знак на руку твою, и да будут они повязкою над глазами твоими,	واربطها علامة على يدك ولتكن عصائب بين عينيك	знак
1362	Северный ветер производит дождь, а тайный язык – недовольные лица.	ريح الشمال تطرد المطر والوجه المعبس يطرد لسانا ثالبا.	язык
1363	Наготы отца твоего и наготы матери твоей не открывай: она мать твоя, не открывай наготы ее.	عورة ابيك وعورة امك لا تكشف. انها امك لا تكشف عورتها.	наготы
1364	А что до удела их, то Я их удел. И владения не давайте им в Израиле: Я их владение.	ويكون لهم ميراثا. انا ميراثهم ولا تعطونهم ملكا في اسرائيل. انا ملكهم.	удел
1365	устроил себе сады и рощи и насадил в них всякие плодовитые дерева;	عملت لنفسي جنات وفراديس وغرست فيها اشجارا من كل نوع ثمر.	рощи
1366	тогда из среды Херувимов один Херувим простер руку свою к огню, который между Херувимами, и взял и дал в пригоршни одетому в льняную одежду. Он взял и вышел.	ومد كروب يده من بين الكروبيم الى النار التي بين الكروبيم فرفع منها ووضعها في حفنتي اللابس الكتان فأخذها وخرج.	огню
1367	Кто из вас, имея раба пашущего или пасущего, по возвращении его с поля, скажет ему: пойди скорее, садись за стол?	ومن منكم له عبد يحرث او يرعى يقول له اذا دخل من الحقل تقدم سريعا واتكئ.	стол
1368	Благоразумие делает человека медленным на гнев, и слава для него – быть снисходительным к проступкам.	تعقل الانسان يبطئ غضبه وفخره الصفح عن معصية.	Благоразумие
1369	Прочее об Езекии и о всех подвигах его, и о том, что он сделал пруд и водопровод и провел воду в город, написано в летописи царей Иудейских.	وبقية أمور حزقيا وكل جبروته وكيف عمل البركة والقناة وادخل الماء الى المدينة اما هي مكتوبة في سفر اخبار الايام لملوك يهوذا.	водопровод
1370	вино их яд драконов и гибельная отрава аспидов.	خمرهم حمّة الثعابين وسم الاصلال القاتل	драконов
1371	И будет в тот день, говорит Господь, вопль у ворот рыбных и рыдание у других ворот и великое разрушение на холмах.	ويكون في ذلك اليوم يقول الرب صوت صراخ من باب السمك وولولة من القسم الثاني وكسر عظيم من الاكام.	ворот
1372	Во время продолжительной беседы Павловой один юноша, именем Евтих, сидевший на окне, погрузился в глубокий сон и, пошатнувшись, сонный упал вниз с третьего жилья, и поднят мертвым.	‎وكان شاب اسمه افتيخوس جالسا في الطاقة متثقلا بنوم عميق. واذ كان بولس يخاطب خطابا طويلا غلب عليه النوم فسقط من الطبقة الثالثة الى اسفل وحمل ميتا‎.	окне
1373	А на другой день Павел и мы, бывшие с ним, выйдя, пришли в Кесарию и, войдя в дом Филиппа благовестника, одного из семи диаконов, остались у него.	‎ثم خرجنا في الغد نحن رفقاء بولس وجئنا الى قيصرية فدخلنا بيت فيلبس المبشر اذ كان واحدا من السبعة واقمنا عنده‎.	диаконов
1374	И ныне для чего тебе путь в Египет, чтобы пить воду из Нила? и для чего тебе путь в Ассирию, чтобы пить воду из реки ее?	والآن ما لك وطريق مصر لشرب مياه شيحور وما لك وطريق اشور لشرب مياه النهر.	Нила
1375	пойди и скажи Давиду: так говорит Господь: три наказания предлагаю Я тебе; выбери себе одно из них, которое совершилось бы над тобою.	اذهب وقل لداود هكذا قال الرب. ثلاثة انا عارض عليك فاختر لنفسك واحدا منها فافعله بك.	наказания
1376	с кротостью наставлять противников, не даст ли им Бог покаяния к познанию истины,	مؤدبا بالوداعة المقاومين عسى ان يعطيهم الله توبة لمعرفة الحق	противников
1377	Четыре стола с одной стороны и четыре стола с другой стороны, по бокам ворот: всего восемь столов, на которых заколают жертвы.	اربع موائد من هنا واربع موائد من هناك على جانب الباب. ثماني موائد كانوا يذبحون عليها.	стола
1378	Итак слушай, Иов, речи мои и внимай всем словам моим.	ولكن اسمع الآن يا ايوب اقوالي واصغ الى كل كلامي.	Иов
1379	Прочее об Охозии, что он сделал, написано в летописи царей Израильских.	وبقية أمور اخزيا التي عمل أما هي مكتوبة في سفر اخبار الايام لملوك اسرائيل	летописи
1380	Когда Я врачевал Израиля, открылась неправда Ефрема и злодейство Самарии: ибо они поступают лживо; и входит вор, и разбойник грабит по улицам.	حينما كنت اشفي اسرائيل أعلن اثم افرايم وشرور السامرة فانهم قد صنعوا غشا. السارق دخل والغزاة نهبوا في الخارج.	вор
1381	Даст ли Он какую цену твоему богатству? Нет, – ни золоту и никакому сокровищу.	هل يعتبر غناك. لا التبر ولا جميع قوى الثروة.	цену
1382	и ты, Соломон, сын мой, знай Бога отца твоего и служи Ему от всего сердца и от всей души, ибо Господь испытует все сердца и знает все движения мыслей. Если будешь искать Его, то найдешь Его, а если оставишь Его, Он оставит тебя навсегда.	وانت يا سليمان ابني اعرف اله ابيك واعبده بقلب كامل ونفس راغبة لان الرب يفحص جميع القلوب ويفهم كل تصورات الافكار. فاذا طلبته يوجد منك واذا تركته يرفضك الى الابد.	мыслей
1383	Убирай с земли имущество твое, имеющая сидеть в осаде;	اجمعي من الارض حزمك ايتها الساكنة في الحصار.	осаде
1384	И приходят в Капернаум; и вскоре в субботу вошел Он в синагогу и учил.	ثم دخلوا كفرناحوم وللوقت دخل المجمع في السبت وصار يعلم.	синагогу
1385	Взятки берут у тебя, чтобы проливать кровь; ты берешь рост и лихву и насилием вымогаешь корысть у ближнего твоего, а Меня забыл, говорит Господь Бог.	فيك اخذوا الرشوة لسفك الدم. اخذت الربا والمرابحة وسلبت اقرباءك بالظلم ونسيتني يقول السيد الرب	Взятки
1386	В то время пришел к ним Фафнай, заречный областеначальник, и Шефар-Бознай и товарищи их, и так сказали им: кто дал вам разрешение строить дом сей и доделывать стены сии?	في ذلك الزمان جاء اليهم تتناي والي عبر النهر وشتر بوزناي ورفقاؤهما وقالوا لهم هكذا. من أمركم ان تبنوا هذا البيت وتكملوا هذا السور.	разрешение
1387	от трепета сердца твоего, которым ты будешь объят, и от того, что ты будешь видеть глазами твоими, утром ты скажешь: „о, если бы пришел вечер!', а вечером скажешь: „о, если бы наступило утро!'	في الصباح تقول يا ليته المساء وفي المساء تقول يا ليته الصباح من ارتعاب قلبك الذي ترتعب ومن منظر عينيك الذي تنظر.	вечер
1388	Услышали Апостолы и братия, бывшие в Иудее, что и язычники приняли слово Божие.	فسمع الرسل والاخوة الذين كانوا في اليهودية ان الامم ايضا قبلوا‏ كلمة الله‎.	язычники
1389	И поклялись Израильтяне в Массифе, говоря: никто из нас не отдаст дочери своей сынам Вениамина в замужество.	ورجال اسرائيل حلفوا في المصفاة قائلين لا يسلم احد منا ابنته لبنيامين امرأة.	замужество
1390	И дам им одно сердце и один путь, чтобы боялись Меня во все дни жизни, ко благу своему и благу детей своих после них.	واعطيهم قلبا واحدا وطريقا واحدا ليخافوني كل الايام لخيرهم وخير اولادهم بعدهم.	благу
1391	(5:8) превосходство же страны в целом есть царь, заботящийся о стране.	ومنفعة الارض للكل. الملك مخدوم من الحقل.	целом
1392	ты целования Мне не дал, а она, с тех пор как Я пришел, не перестает целовать у Меня ноги;	قبلة لم تقبّلني. واما هي فمنذ دخلت لم تكف عن تقبيل رجليّ.	пор
1393	А ворота Навозные чинил Малхия, сын Рехава, начальник Бефкаремского округа: он построил их и вставил двери их, замки их и засовы их.	وباب الدمن رممه ملكيا بن ركاب رئيس دائرة بيت هكّاريم هو بناه واقام مصاريعه واقفاله وعوارضه.	засовы
1394	И пробудился Соломон, и вот, это было сновидение. И пошел он в Иерусалим и стал пред ковчегом завета Господня, и принес всесожжения и совершил жертвы мирные, и сделал большой пир для всех слуг своих.	فاستيقظ سليمان واذ هو حلم. وجاء الى اورشليم ووقف امام تابوت عهد الرب واصعد محرقات وقرّب ذبائح سلامة وعمل وليمة لكل عبيده	сновидение
1395	Не уклоняйтесь друг от друга, разве по согласию, на время, для упражнения в посте и молитве, а потом опять будьте вместе, чтобы не искушал вас сатана невоздержанием вашим.	لا يسلب احدكم الآخر الا ان يكون على موافقة الى حين لكي تتفرغوا للصوم والصلاة ثم تجتمعوا ايضا معا لكي لا يجربكم الشيطان لسبب عدم نزاهتكم.	упражнения
1396	При сборе же для святых поступайте так, как я установил в церквах Галатийских.	واما من جهة الجمع لاجل القديسين فكما اوصيت كنائس غلاطية هكذا افعلوا انتم ايضا.	сборе
1397	(77:54) и привел их в область святую Свою, на гору сию, которую стяжала десница Его;	‎وادخلهم في تخوم قدسه هذا الجبل الذي اقتنته يمينه‎.	область
1398	Перс и Лидиянин и Ливиец находились в войске твоем и были у тебя ратниками, вешали на тебе щит и шлем; они придавали тебе величие.	فارس ولود وفوط كانوا في جيشك رجال حربك. علقوا فيك ترسا وخوذة. هم صيّروا بهاءك.	ратниками
1399	чтобы насыщать пустыню и степь и возбуждать травные зародыши к возрастанию?	ليروي البلقع والخلاء وينبت مخرج العشب	зародыши
1400	И по северной стороне – завесы во сто локтей; столбов для них двадцать и подножий к ним двадцать медных; крючки у столбов и связи их из серебра.	والى جهة الشمال مئة ذراع. اعمدتها عشرون وقواعدها عشرون من نحاس. رزز الاعمدة وقضبانها من فضة.	столбов
1401	И сказал царь: какая дана почесть и отличие Мардохею за это? И сказали отроки царя, служившие при нем: ничего не сделано ему.	فقال الملك ايّة كرامة وعظمة عملت لمردخاي لاجل هذا. فقال غلمان الملك الذين يخدمونه لم يعمل معه شيء.	отличие
1402	Старшие из Гевала и знатоки его были у тебя, чтобы заделывать пробоины твои. Всякие морские корабли и корабельщики их находились у тебя для производства торговли твоей.	شيوخ جبيل وحكماؤها كانوا فيك قلافوك. جميع سفن البحر وملاحوها كانوا فيك ليتاجروا بتجارتك.	производства
1403	который говорит: „остановись, не подходи ко мне, потому что я свят для тебя'. Они – дым для обоняния Моего, огонь, горящий всякий день.	يقول قف عندك. لا تدن مني لاني اقدس منك. هؤلاء دخان في انفي نار متقدة كل النهار.	обоняния
1404	Вот сыны страны из пленников переселения, которых Навуходоносор, царь Вавилонский,отвел в Вавилон, возвратившиеся в Иерусалим и Иудею, каждый в свой город, –	وهؤلاء هم بنو الكورة الصاعدون من سبي المسبيين الذين سباهم نبوخذناصّر ملك بابل الى بابل ورجعوا الى اورشليم ويهوذا كل واحد الى مدينته	пленников
1405	и приготовлю против тебя истребителей, каждого со своими орудиями, и срубят лучшие кедры твои и бросят в огонь.	واقدّس عليك مهلكين كل واحد وآلاته فيقطعون خيار ارزك ويلقونه في النار.	истребителей
1406	По улицам несутся колесницы, гремят на площадях; блеск от них, как от огня; сверкают, как молния.	تهيج المركبات في الازقة. تتراكض في الساحات. منظرها كمصابيح. تجري كالبروق	огня
1407	Не знаю, как душа моя влекла меня к колесницам знатных народа моего.	فلم اشعر الا وقد جعلتني نفسي بين مركبات قوم شريف	душа
1408	Пастырей ваших умоляю я, сопастырь и свидетель страданий Христовых и соучастник в славе, которая должна открыться:	اطلب الى الشيوخ الذين بينكم انا الشيخ رفيقهم والشاهد لآلام المسيح وشريك المجد العتيد ان يعلن	соучастник
1409	у нас есть и солома и корм для ослов наших; также хлеб и вино для меня и для рабы твоей и для сего слуги есть у рабов твоих; ни в чем нет недостатка.	وايضا عندنا تبن وعلف لحميرنا وايضا خبز وخمر لي ولامتك وللغلام الذي مع عبيدك. ليس احتياج الى شيء.	солома
1410	Уголь – для жара и дрова – для огня, а человек сварливый – для разжжения ссоры.	فحم للجمر وحطب للنار هكذا الرجل المخاصم لتهييج النزاع.	Уголь
1411	Посему так говорит Господь Бог: так как вы сами приводите на память беззаконие ваше, делая явными преступления ваши, выставляя на вид грехи ваши во всех делах ваших, и сами приводите это на память, то вы будете взяты руками.	لذلك هكذا قال السيد الرب. من اجل انكم ذكّرتم باثمكم عند انكشاف معاصيكم لاظهار خطاياكم في جميع اعمالكم فمن اجل تذكيركم تؤخذون باليد	память
1412	(92:3) Возвышают реки, Господи, возвышают реки голос свой, возвышают реки волны свои.	‎رفعت الانهار يا رب رفعت الانهار صوتها. ترفع الانهار عجيجها‎.	голос
1413	Пределы Аморреев от возвышенности Акравим и от Селы простирались и далее.	وكان تخم الاموريين من عقبة عقربّيم من سالع فصاعدا	возвышенности
1414	Пределом же к востоку море Соленое, до устья Иордана; а предел с северной стороны начинается от залива моря, от устья Иордана;	وتخم الشرق بحر الملح الى طرف الاردن. وتخم جانب الشمال من لسان البحر اقصى الاردن.	устья
1415	Искореню из среды твоей священные рощи твои и разорю города твои.	واقلع سواريك من وسطك وابيد مدنك.	рощи
1416	и был град и огонь между градом, град весьма сильный,какого не было во всей земле Египетской со времени населения ее.	فكان برد ونار متواصلة في وسط البرد. شيء عظيم جدا لم يكن مثله في كل ارض مصر منذ صارت امة.	населения
1417	и Ирод также, ибо я посылал Его к нему; и ничего не найдено в Нем достойного смерти;	ولا هيرودس ايضا. لاني ارسلتكم اليه. وها لا شيء يستحق الموت صنع منه.	смерти
1418	вспомни рабов Твоих, Авраама, Исаака и Иакова; не смотри на ожесточение народа сего и на нечестие его и на грехи его,	اذكر عبيدك ابراهيم واسحق ويعقوب. لا تلتفت الى غلاظة هذا الشعب واثمه وخطيته	ожесточение
1419	Итак нет ныне никакого осуждения тем, которые во Христе Иисусе живут не по плоти, но по духу,	اذا لا شيء من الدينونة الآن على الذين هم في المسيح يسوع السالكين ليس حسب الجسد بل حسب الروح.	осуждения
1420	Если он наберет кучи серебра, как праха, и наготовит одежд, как брение,	ان كنز فضة كالتراب واعدّ ملابس كالطين	кучи
1421	И вот размеры его: северная сторона четыре тысячи пятьсот и южная сторона четыре тысячи пятьсот, восточная сторона четыре тысячи пятьсот и западная сторона четыре тысячи пятьсот тростей.	وهذه اقيستها. جانب الشمال اربعة آلاف وخمس مئة وجانب الجنوب اربعة آلاف وخمس مئة وجانب الشرق اربعة آلاف وخمس مئة وجانب الغرب اربعة آلاف وخمس مئة.	размеры
1422	И взял Илия двенадцать камней, по числу колен сынов Иакова, которому Господь сказал так: Израиль будет имя твое.	ثم اخذ ايليا اثني عشر حجرا بعدد اسباط بني يعقوب الذي كان كلام الرب اليه قائلا اسرائيل يكون اسمك.	числу
1423	Но, чтобы много не утруждать тебя, прошу тебя выслушать нас кратко, со свойственным тебе снисхождением.	‎ولكن لئلا اعوقك اكثر التمس ان تسمعنا بالاختصار بحلمك‎.	снисхождением
1424	От плода уст человека наполняется чрево его; произведением уст своих он насыщается.	من ثمر فم الانسان يشبع بطنه. من غلة شفتيه يشبع.	чрево
1425	но взыскал он Бога отца своего и поступал по заповедям Его, а не по деяниям Израильтян.	ولكنه طلب اله ابيه وسار في وصاياه لا حسب اعمال اسرائيل.	деяниям
1426	Вот закон храма: на вершине горы все пространство его вокруг – Святое Святых; вот закон храма!	هذه سنّة البيت. على راس الجبل كل تخمه حواليه قدس اقداس. هذه هي سنّة البيت	пространство
1427	И сказали жители того города Елисею: вот, положение этого города хорошо, как видит господин мой; но вода нехороша и земля бесплодна.	وقال رجال المدينة لاليشع هوذا موقع المدينة حسن كما يرى سيدي واما المياه فرديّة والارض مجدبة.	положение
1428	Ей, прошу и тебя, искренний сотрудник, помогай им, подвизавшимся в благовествовании вместе со мною и с Климентом и с прочими сотрудниками моими, которых имена - в книге жизни.	نعم اسألك انت ايضا يا شريكي المخلص ساعد هاتين اللتين جاهدتا معي في الانجيل مع اكليمندس ايضا وباقي العاملين معي الذين اسماؤهم في سفر الحياة	Климентом
1429	От одной крови Он произвел весь род человеческий для обитания по всему лицу земли, назначив предопределенные времена и пределы их обитанию,	‎وصنع من دم واحد كل امة من الناس يسكنون على كل وجه الارض وحتم بالاوقات المعينة وبحدود مسكنهم‎.	обитания
1430	(17:9) поднялся дым от гнева Его и из уст Его огонь поядающий; горячие угли сыпались от Него.	‎صعد دخان من انفه ونار من فمه اكلت. جمر اشتعلت منه‎.	угли
1431	Но в первый год Кира, царя Вавилонского, царь Кир дал разрешение построить сей дом Божий;	على انه في السنة الاولى لكورش ملك بابل اصدر كورش الملك أمرا ببناء بيت الله هذا.	разрешение
1432	и если кто отнимет что от слов книги пророчества сего, у того отнимет Бог участие в книге жизни и в святом граде и в том, что написано в книге сей.	وان كان احد يحذف من اقوال كتاب هذه النبوّة يحذف الله نصيبه من سفر الحياة ومن المدينة المقدسة ومن المكتوب في هذا الكتاب	книге
1433	ибо у царя был на море Фарсисский корабль с кораблем Хирамовым; в три года раз приходил Фарсисский корабль, привозивший золото и серебро, и слоновую кость, и обезьян, и павлинов.	لانه كان للملك في البحر سفن ترشيش مع سفن حيرام. فكانت سفن ترشيش تأتي مرة في كل ثلاث سنوات اتت سفن ترشيش حاملة ذهبا وفضة وعاجا وقرودا وطواويس.	павлинов
1434	вселенную сделал пустынею и разрушал города ее, пленников своих не отпускал домой?'	الذي جعل العالم كقفر وهدم مدنه الذي لم يطلق اسراه الى بيوتهم.	пленников
1435	И не взывали ко Мне сердцем своим, когда вопили на ложах своих; собираются из-за хлеба и вина, а от Меня удаляются.	ولا يصرخون اليّ بقلوبهم حينما يولولون على مضاجعهم. يتجمعون لاجل القمح والخمر ويرتدّون عني.	ложах
1436	и сказал своим братьям: серебро мое возвращено; вот оно в мешке у меня. И смутилось сердце их, и они с трепетом друг другу говорили: что это Бог сделал с нами?	فقال لاخوته ردّت فضتي وها هي في عدلي. فطارت قلوبهم وارتعدوا بعضهم في بعض قائلين ما هذا الذي صنعه الله بنا	мешке
1437	А царь закрыл лице свое и громко взывал: сынмой Авессалом! Авессалом, сын мой, сын мой!	وستر الملك وجهه وصرخ الملك بصوت عظيم يا ابني ابشالوم يا ابشالوم ابني يا ابني.	сын
1438	Нажитое трудом возвратит, не проглотит; по мере имения его будет и расплата его, а он не порадуется.	يرد تعبه ولا يبلعه. كمال تحت رجع. ولا يفرح.	расплата
1439	Опасаясь, чтобы не попасть на каменистые места, бросили с кормы четыре якоря, и ожидали дня.	‎واذ كانوا يخافون ان يقعوا على مواضع صعبة رموا من المؤخر اربع مراس وكانوا يطلبون ان يصير النهار‎.	кормы
1440	И сделал Господь по слову Моисея и удалил песьих мух от фараона, от рабов его и от народа его: не осталось ни одной.	ففعل الرب كقول موسى. فارتفع الذبان عن فرعون وعبيده وشعبه. لم تبق واحدة.	мух
1441	Когда сильный с оружием охраняет свой дом, тогда в безопасности его имение;	حينما يحفظ القوي داره متسلحا تكون امواله في امان.	безопасности
1442	то рассудилось и мне, по тщательном исследовании всего сначала, по порядку описать тебе, достопочтенный Феофил,	رأيت انا ايضا اذ قد تتبعت كل شيء من الاول بتدقيق ان اكتب على التوالي اليك ايها العزيز ثاوفيلس	порядку
1443	Но призри на молитву раба Твоего и на прошение его, Господи Боже мой! услышь воззвание и молитву, которою раб Твой молится пред Тобою.	فالتفت الى صلاة عبدك والى تضرّعه ايها الرب الهي واسمع الصراخ والصلاة التي يصليها عبدك امامك.	воззвание
1444	И обложу вас жилами, и выращу на вас плоть, и покрою вас кожею, и введу в вас дух, и оживете, и узнаете, что Я Господь.	واضع عليكم عصبا واكسيكم لحما وابسط عليكم جلدا واجعل فيكم روحا فتحيون وتعلمون اني انا الرب	жилами
